name,alcohol,sugar,acid,oz,style,glass,melt
Angostura Fizz,0,0.112687969924812,0.0157300846742288,2.66,fizz,coupe,0.33
Apple Toddy,0,0.0220514539704707,0,6.61333376,,,0.28
Applejack Old Fashioned,0,0.0560898471400235,0,2.6000004,built,old-fashioned,0.2
Blonde Redhead,0.0355603448275862,0.0892241379310345,0.00420258620689655,9.28,,,0.28
Trident,0.0423076923076923,0.0256410256410256,0,3.9,stirred,coupe,0.3
The Bamboo,0.068359375,0.01171875,0.00234375,3.84,,,0.28
Cricket Ball,0.0991735537190083,0.0275482093663912,0,4.5375,bubbly,flute,0.1
Paloma,0.104166666666667,0.0751627604166667,0.008984375,7.68,,,0.28
Scotch Toddy,0.104166666666667,0.0596354166666667,0.00390625,7.68,,,0.28
Southside Cocktail,0.107744107744108,0.0637373737373737,0.00606060606060606,7.425,shaken,coupe,0.35
Southside Fizz,0.108695652173913,0.0851902173913043,0.00611413043478261,7.36,,,0.28
Southland Sipper,0.109747023809524,0.0795386904761905,0.00669642857142857,6.72,,,0.28
Ramos Gin Fizz,0.112781954887218,0.0805451127819549,0.012593984962406,5.32,fizz,collins,0.33
Moscow Mule,0.113636363636364,0.0672230113636364,0.00639204545454545,7.04,,,0.28
Tom Collins,0.113636363636364,0.0672230113636364,0.00639204545454545,7.04,,,0.28
Bitter Guiseppe,0.117159763313609,0.0861538461538462,0.00497041420118343,4.225,stirred,coupe,0.3
Bourbon Toddy,0.120967734131114,0.0154990219335308,0,6.61333376,,,0.28
Rum Toddy,0.120967734131114,0.0154990219335308,0,6.61333376,,,0.28
Hot Toddy,0.128528217514309,0.0154990219335308,0,6.61333376,,,0.28
Blood and Sand,0.129320987654321,0.0449382716049383,0.00209876543209877,4.05,shaken,coupe,0.35
Champagne Cocktail,0.133037694013304,0.0221729490022173,0,5.6375,bubbly,flute,0.1
Pisco Sour,0.133667502088555,0.0790726817042606,0.0075187969924812,5.985,fizz,coupe,0.33
Brandy 75,0.134548611111111,0.0547743055555556,0.00520833333333333,5.76,,,0.28
French 75,0.134548611111111,0.0547743055555556,0.00520833333333333,5.76,,,0.28
Pisco 75,0.134548611111111,0.0547743055555556,0.00520833333333333,5.76,,,0.28
Rum 75,0.134548611111111,0.0547743055555556,0.00520833333333333,5.76,,,0.28
Tequila 75,0.134548611111111,0.0447916666666667,0.00520833333333333,5.76,,,0.28
Bitter French,0.137335526315789,0.0617598684210526,0.00493421052631579,6.08,,,0.28
Old Hickory,0.141666666666667,0.0791666666666667,0.005,3.6,built,old-fashioned,0.2
Margarita,0.142517399363481,0.109299478893435,0.0146889098730458,7.14825,shaken,coupe,0.35
Whiskey Sour,0.146079484425349,0.0809881847475833,0.00644468313641246,5.81875,fizz,coupe,0.33
Scofflaw Cocktail,0.150462962962963,0.0716666666666667,0.00986111111111111,5.4,shaken,coupe,0.35
Gargoyle and Spire,0.159090909090909,0.0349431818181818,0,4.4,bubbly,highball,0.1
Classic Daiquiri,0.163473818646232,0.0971136653895275,0.010727969348659,4.89375,shaken,coupe,0.35
Bee's Knees,0.169312169312169,0.10015873015873,0.00952380952380952,4.725,shaken,coupe,0.35
Brown Derby,0.169312169312169,0.0870899470899471,0.00507936507936508,4.725,shaken,coupe,0.35
Gimlet,0.169312169312169,0.10015873015873,0.00952380952380952,4.725,shaken,coupe,0.35
Gold Rush,0.169312169312169,0.10015873015873,0.00952380952380952,4.725,shaken,old-fashioned,0.35
Honeysuckle,0.169312169312169,0.10015873015873,0.00952380952380952,4.725,shaken,coupe,0.35
Summer Negroni,0.174479166666667,0.0963541666666667,0.0015625,3.84,,,0.28
The Bitter Handshake,0.176923076923077,0.205128205128205,0.00307692307692308,3.9,stirred,old-fashioned,0.3
Daiquiri,0.178571428571429,0.105636160714286,0.0100446428571429,4.48,,,0.28
20th Century Cocktail,0.179259259259259,0.20162962962963,0.00977777777777778,5.0625,shaken,coupe,0.35
Abbey Cocktail,0.17962962962963,0.198888888888889,0.00259259259259259,4.05,shaken,coupe,0.35
Corpse Reviver #2,0.17962962962963,0.225185185185185,0.0122222222222222,4.05,shaken,coupe,0.35
La Rosa,0.180027173913043,0.0651494565217391,0.00611413043478261,7.36,,,0.28
Brandy Alexander,0.182336182336182,0.0418803418803419,0.0015954415954416,4.3875,shaken,coupe,0.35
Penicillin,0.186153846153846,0.0970769230769231,0.00923076923076923,4.875,stirred,coupe,0.3
Hemingway Daiquiri,0.18962962962963,0.0472098765432099,0.0112592592592593,5.0625,shaken,coupe,0.35
Cosmopolitan,0.190476190476191,0.0624867724867725,0.0120634920634921,4.725,shaken,coupe,0.35
Sawyer,0.197530864197531,0.0779012345679012,0.00740740740740741,4.05,shaken,old-fashioned,0.35
Harvard Cocktail,0.201041641536462,0.0557407763657363,0.00555555513888894,3.60000045,shaken,coupe,0.35
Original Cosmopolitan,0.222222222222222,0.0546759259259259,0.01,5.4,shaken,coupe,0.35
Negroni,0.223611111111111,0.111111111111111,0.00166666666666667,3.6,built,old-fashioned,0.2
Hanky Panky,0.22512336363833,0.0625,0.00222039450311637,4.05333376,,,0.28
Boulevardier,0.229120879120879,0.0879120879120879,0.00131868131868132,4.55,stirred,coupe,0.3
Blackthorn,0.233653846153846,0.0692307692307692,0.00115384615384615,3.9,stirred,coupe,0.3
Seelbach Cocktail,0.233766233766234,0.0324675324675325,0,3.85,bubbly,coupe,0.1
