name,alcohol,sugar,acid,oz,style,glass,melt,ingredients
Angostura Fizz,0.012531328320802,0.075125313283208,0.0151607411604239,3.99,fizz,coupe,0.33,Angostura bitters|lime juice|simple syrup|grenadine|heavy cream|egg white|soda water
Blonde Redhead,0.0355603448275862,0.0892241379310345,0.00420258620689655,9.28,,,0.28,aperol|grapefruit juice|lemon juice|club soda
Trident,0.091025641025641,0.0333333333333333,0,3.9,stirred,coupe,0.3,dry sherry|Cynar|aquavit|Fee Brothers peach bitters
Mojito,0.0987654320987654,0.0779012345679012,0.00740740740740741,6.075,shaken,highball,0.35,white rum|mint leaves|simple syrup|lime juice|club soda|mint sprig
Cricket Ball,0.0991735537190083,0.0275482093663912,0,4.5375,bubbly,flute,0.1,sugar|Peychaud's bitters|Fee Brothers rhubarb bitters|Lillet Rouge|champagne|lemon twist
Landing Gear Fizz,0.101424501424501,0.155441595441595,0.0127635327635328,4.3875,shaken,Collins,0.35,Punt e Mes vermouth|falernum|lime juice|sherry|lime wheel|mint sprig
Paloma,0.102564102564103,0.0740064102564103,0.00884615384615385,7.8,stirred,,0.3,tequila blanco|grapefruit juice|lime juice|simple syrup|club soda
Scotch Toddy,0.104166666666667,0.0596354166666667,0.00390625,7.68,hot,mug,0.28,blended scotch whiskey|honey|lemon juice|boiling water
Southside Cocktail,0.107744107744108,0.0637373737373737,0.00606060606060606,7.425,shaken,coupe,0.35,gin|mint leaves|lemon juice|simple syrup|club soda
Tom Collins,0.107744107744108,0.0637373737373737,0.00606060606060606,7.425,shaken,,0.35,gin|lemon juice|simple syrup|club soda
Southland Sipper,0.109747023809524,0.0795386904761905,0.00669642857142857,6.72,,,0.28,strawberry|simple syrup|rye whiskey|Benedictine|lemon juice|Angostura bitters|club soda
Ramos Gin Fizz,0.112781954887218,0.0805451127819549,0.012593984962406,5.32,fizz,collins,0.33,Old Tom gin|egg white|heavy cream|orange flower water|simple syrup|lemon juice|lime juice|soda water|orange wheel
Bitter Guiseppe,0.117159763313609,0.0861538461538462,0.00497041420118343,4.225,stirred,coupe,0.3,Cynar|sweet vermouth|lemon juice|orange bitter
Planter's Punch,0.118518518518519,0.0647407407407407,0.0114567901234568,5.0625,shaken,old-fashioned,0.35,dark rum|pineapple juice|lime juice|orange juice|simple syrup|pineapple wedge|orange wheel|mint sprig
Apple Toddy,0.120967734131114,0.0432208074434157,0,6.61333376,hot,mug,0.28,applejack|maple syrup|Angostura bitters|cinnamon tea
Bourbon Toddy,0.120967734131114,0.0154990219335308,0,6.61333376,hot,mug,0.28,bourbon whiskey|simple syrup|Angostura bitters|boiling water
Rum Toddy,0.120967734131114,0.0154990219335308,0,6.61333376,hot,mug,0.28,aged rum|simple syrup|Angostura bitters|boiling water
Moscow Mule,0.121212121212121,0.0717045454545455,0.00681818181818182,6.6,built,,0.2,vodka|ginger syrup|lime juice|club soda
Jungle Bird,0.121637426900585,0.101598440545809,0.0102923976608187,6.4125,shaken,old-fashioned,0.35,blackstrap rum|pineapple juice|Campari|lime juice|simple syrup|pineapple wedge
Esplanade Swizzle,0.125714285714286,0.112285714285714,0.00904761904761905,5.25,swizzle,Collins,0.4,mezcal|sherry|lime juice|falernum|ginger syrup|mint sprig
Southside Fizz,0.126482213438735,0.0991304347826087,0.00711462450592885,6.325,bubbly,,0.1,mint leaves|cucumber wheel|simple syrup|gin|lime juice|club soda
Hot Toddy,0.128528217514309,0.0154990219335308,0,6.61333376,hot,mug,0.28,rye whiskey|simple syrup|Angostura bitters|boiling water
