"","labels","stat","value"
"1",1,"deadWorld",52.4545454545455
"2",1,"debrisNum",13.3636363636364
"3",1,"grassNum",30.6363636363636
"4",1,"rabbitEn",72.3636363636364
"5",1,"rabbitFa",8.18181818181818
"6",1,"rabbitNum",12.2727272727273
"7",1,"rabbitRe",98.0909090909091
"8",1,"wolfEn",304.272727272727
"9",1,"wolfFa",18.4545454545455
"10",1,"wolfNum",4.36363636363636
"11",1,"wolfRe",402.545454545455
"12",2,"deadWorld",63.7272727272727
"13",2,"debrisNum",10.0909090909091
"14",2,"grassNum",29.5454545454545
"15",2,"rabbitEn",70.1818181818182
"16",2,"rabbitFa",10.6363636363636
"17",2,"rabbitNum",14
"18",2,"rabbitRe",96.6909090909091
"19",2,"wolfEn",297.363636363636
"20",2,"wolfFa",16.9090909090909
"21",2,"wolfNum",3.54545454545455
"22",2,"wolfRe",402.454545454545
"23",3,"deadWorld",106.727272727273
"24",3,"debrisNum",12.0909090909091
"25",3,"grassNum",26.0909090909091
"26",3,"rabbitEn",54.4545454545455
"27",3,"rabbitFa",6.72727272727273
"28",3,"rabbitNum",16.4545454545455
"29",3,"rabbitRe",99
"30",3,"wolfEn",312.181818181818
"31",3,"wolfFa",10.6363636363636
"32",3,"wolfNum",1.54545454545455
"33",3,"wolfRe",380.363636363636
"34",4,"deadWorld",252.090909090909
"35",4,"debrisNum",24
"36",4,"grassNum",39
"37",4,"rabbitEn",40
"38",4,"rabbitFa",5
"39",4,"rabbitNum",24
"40",4,"rabbitRe",112.727272727273
"41",4,"wolfEn",306.363636363636
"42",4,"wolfFa",5
"43",4,"wolfNum",1
"44",4,"wolfRe",341.363636363636
"45",5,"deadWorld",351.727272727273
"46",5,"debrisNum",35
"47",5,"grassNum",50
"48",5,"rabbitEn",25.4545454545455
"49",5,"rabbitFa",5
"50",5,"rabbitNum",24.0909090909091
"51",5,"rabbitRe",129.545454545455
"52",5,"wolfEn",280.454545454545
"53",5,"wolfFa",5
"54",5,"wolfNum",1
"55",5,"wolfRe",308.454545454545
"56",6,"deadWorld",323.545454545455
"57",6,"debrisNum",46
"58",6,"grassNum",61
"59",6,"rabbitEn",25
"60",6,"rabbitFa",5
"61",6,"rabbitNum",30
"62",6,"rabbitRe",119.090909090909
"63",6,"wolfEn",293.636363636364
"64",6,"wolfFa",5
"65",6,"wolfNum",1
"66",6,"wolfRe",323
"67",7,"deadWorld",426
"68",7,"debrisNum",57
"69",7,"grassNum",72
"70",7,"rabbitEn",25
"71",7,"rabbitFa",5
"72",7,"rabbitNum",41
"73",7,"rabbitRe",165
"74",7,"wolfEn",335
"75",7,"wolfFa",5
"76",7,"wolfNum",1
"77",7,"wolfRe",368.636363636364
"78",8,"deadWorld",444.909090909091
"79",8,"debrisNum",68
"80",8,"grassNum",83
"81",8,"rabbitEn",25
"82",8,"rabbitFa",5
"83",8,"rabbitNum",52
"84",8,"rabbitRe",220
"85",8,"wolfEn",390
"86",8,"wolfFa",5
"87",8,"wolfNum",1
"88",8,"wolfRe",429.272727272727
"89",9,"deadWorld",450.181818181818
"90",9,"debrisNum",79
"91",9,"grassNum",94
"92",9,"rabbitEn",25
"93",9,"rabbitFa",5
"94",9,"rabbitNum",63
"95",9,"rabbitRe",265.909090909091
"96",9,"wolfEn",435.909090909091
"97",9,"wolfFa",5
"98",9,"wolfNum",1
"99",9,"wolfRe",479.727272727273
"100",10,"deadWorld",441.5
"101",10,"debrisNum",85
"102",10,"grassNum",100
"103",10,"rabbitEn",25
"104",10,"rabbitFa",5
"105",10,"rabbitNum",69
"106",10,"rabbitRe",255
"107",10,"wolfEn",425
"108",10,"wolfFa",5
"109",10,"wolfNum",1
"110",10,"wolfRe",468
